id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
5485,FELICITY-300,"Semi-precious Stones: Hematite, Jasper, Howlite, Lava, Jade Other materials: Glass Clasp: 18K Gold-Plated Brass",https://www.precious-joy.com/product/felicity-300/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5485,https://www.precious-joy.com/wp-content/uploads/FELICITY-300a.jpg,"in stock","75 EUR",,,felicity-300,,,New,
5481,EUPHORIA-300,"Semi-precious Stones: Hematite, Agate, Clear Quartz Bracelet: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/euphoria-300/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5481,https://www.precious-joy.com/wp-content/uploads/EUPHORIA-300a.jpg,"in stock","55 EUR",,,euphoria-300,,,New,
5199,BLISS-301,"Semi-precious Stones: Hematite, Agate, Black Onyx Other materials: Glass, Brass, Stainless Steel Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/bliss-301/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5199,https://www.precious-joy.com/wp-content/uploads/BLISS-301a-scaled.jpg,"in stock","65 EUR",,,bliss-301,,,New,
5193,LAVISH-307,"Semi-precious Stones: Hematite, Agate, Jade Other materials: Glass, Wood, Aluminum and Stainless-Steel charms Bracelet: 18K Gold-Plated Stainless-Steel Memory Wire",https://www.precious-joy.com/product/lavish-307/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5193,https://www.precious-joy.com/wp-content/uploads/LAVISH-307b.jpg,"in stock","80 EUR",,,lavish-307,,,New,
5186,LAVISH-302,"Semi-precious Stones: Hematite, Jasper Other materials: Glass, Wood, Aluminum and Stainless-Steel charms Bracelet: 18K Gold-Plated Stainless-Steel Memory Wire",https://www.precious-joy.com/product/lavish-302/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5186,https://www.precious-joy.com/wp-content/uploads/LAVISH-302c.jpg,"in stock","95 EUR",,,lavish-302,,,New,
5166,GRACE-300,"Semi-precious Stones: Hematite, Jasper, Jade Other materials: Glass, Brass, Stainless Steel charms Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/grace-300/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5166,https://www.precious-joy.com/wp-content/uploads/GRACE-300b.jpg,"in stock","70 EUR",,,grace-300,,,New,
5159,LAVISH-306,"Semi-precious Stones: Hematite, Agate, Jasper Other materials: Glass, Wood, Polymer Clay, Aluminum and Stainless-Steel charms Bracelet: 18K Gold-Plated Stainless-Steel Memory Wire",https://www.precious-joy.com/product/lavish-306/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5159,https://www.precious-joy.com/wp-content/uploads/LAVISH-306a.jpg,"in stock","85 EUR",,,lavish-306,,,New,
5156,GLEE-300,"Semi-precious Stones: Hematite, Lapis Lazouli Bracelet: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/glee-300/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5156,https://www.precious-joy.com/wp-content/uploads/GLEE-300a.jpg,"in stock","55 EUR",,,glee-300,,,New,
5150,GRACE-301,"Semi-precious Stones: Rhodonite, Hematite Bracelet: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/grace-301/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5150,https://www.precious-joy.com/wp-content/uploads/GRACE-301a.jpg,"in stock","60 EUR",,,grace-301,,,New,
5115,DELIGHT-100,"Semi-precious Stones: Hematite, Howlite, Marble, Mother of Pearl Other materials: Brass Chain: Handmade 18K Gold-Plated Stainless Steel Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 24cm",https://www.precious-joy.com/product/delight-100/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5115,https://www.precious-joy.com/wp-content/uploads/DELIGHT-100a.jpg,"in stock","110 EUR",,,delight-100,,,New,
5107,LAVISH-103,"Semi-precious Stones: Hematite, iridescent Labradorite, Marble, Jade Other materials: Glass Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 25cm",https://www.precious-joy.com/product/lavish-103/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5107,https://www.precious-joy.com/wp-content/uploads/LAVISH-103b.jpg,"out of stock","130 EUR",,,lavish-103,,,New,
5104,BLISS-100,"Semi-precious Stones: Hematite, Howlite Other materials: Wood, Brass Chain: Handmade 18K Gold-Plated Stainless Steel Extension chain & Clasp: 8cm, 18K Gold-Plated Stainless Steel Length: 28cm",https://www.precious-joy.com/product/bliss-100/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5104,https://www.precious-joy.com/wp-content/uploads/BLISS-100a.jpg,"in stock","85 EUR",,,bliss-100,,,New,
5096,BLISS-103,"Semi-precious Stones: Hematite, Howlite, Mother of Pearl Other materials: Brass Chain: Gunmetal Bronze Extension chain & Clasp: 8cm, 18K Gold-Plated Stainless Steel Length: 39cm",https://www.precious-joy.com/product/bliss-103/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5096,https://www.precious-joy.com/wp-content/uploads/BLISS-103a.jpg,"in stock","75 EUR",,,bliss-103,,,New,
5025,EUPHORIA-101,"Semi-precious Stones: Hematite, Howlite, Black Onyx, Lava Other materials: Brass, Glass, Wood Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 22cm",https://www.precious-joy.com/product/euphoria-101/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5025,https://www.precious-joy.com/wp-content/uploads/EUPHORIA-101a.jpg,"in stock","100 EUR",,,euphoria-101,,,New,
5008,FELICITY-200,"Semi-precious Stones: Turquoise, Hematite, Obsidian Other materials: 18K Gold-Plated Stainless-Steel Memory Wire Studs and Ear Nuts: 18K Gold-Plated Brass Length: 7cm",https://www.precious-joy.com/product/felicity-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=5008,https://www.precious-joy.com/wp-content/uploads/FELICITY-200a.jpg,"in stock","80 EUR",,,felicity-200,,,New,
4991,LAVISH-200,"Semi-precious Stones: Mother of Pearl, Hematite Other materials: Bronze, Brass, Silk tassels Studs & Ear Nuts: 18K Gold-Plated Stainless Steel Length: 10,5cm",https://www.precious-joy.com/product/lavish-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4991,https://www.precious-joy.com/wp-content/uploads/LAVISH-200b.jpg,"in stock","120 EUR",,,lavish-200,,,New,
4982,JOLLITY-203,"Semi-precious Stones: Turquoise Other materials: Brass, Silk tassels Studs and Ear Nuts: 18K Gold-Plated Stainless Steel Length: 8cm",https://www.precious-joy.com/product/jollity-203/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4982,https://www.precious-joy.com/wp-content/uploads/JOLLITY-203a.jpg,"in stock","55 EUR",,,jollity-203,,,New,
4981,JOLLITY-205,"Semi-precious Stones: Turquoise Other materials: Brass Studs: 18K Gold-Plated Brass Ear Nuts: 18K Gold-Plated Stainless Steel Length: 5cm",https://www.precious-joy.com/product/jollity-205/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4981,https://www.precious-joy.com/wp-content/uploads/JOLLITY-205a.jpg,"in stock","45 EUR",,,jollity-205,,,New,
4979,JOLLITY-201,"Semi-precious Stones: Marble, Hematite Studs and Ear Nuts: 18K Gold-Plated Stainless Steel Length: 10cm",https://www.precious-joy.com/product/jollity-201/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4979,https://www.precious-joy.com/wp-content/uploads/JOLLITY-201a.jpg,"in stock","70 EUR",,,jollity-201,,,New,
4967,GRACE-204,"Semi-precious Stones: Jasper, Hematite Studs: 18K Gold-Plated Brass Ear Nuts: 18K Gold-Plated Stainless Steel Length: 8cm",https://www.precious-joy.com/product/grace-204/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4967,https://www.precious-joy.com/wp-content/uploads/GRACE-204a.jpg,"in stock","70 EUR",,,grace-204,,,New,
4966,DELIGHT-206,"Semi-precious Stones: Hematite, Howlite Other materials: Brass Hooks: 18K Gold-Plated Brass Length: 8cm",https://www.precious-joy.com/product/delight-206/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4966,https://www.precious-joy.com/wp-content/uploads/DELIGHT-206a.jpg,"in stock","65 EUR",,,delight-206,,,New,
