"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","tax:product_color","attribute:Gift Card Amount","attribute_data:Gift Card Amount","attribute_default:Gift Card Amount","attribute:pa_colors","attribute_data:pa_colors","attribute_default:pa_colors","attribute:pa_ewd_uwcf_colors","attribute_data:pa_ewd_uwcf_colors","attribute_default:pa_ewd_uwcf_colors","attribute:pa_ewd_uwcf_sizes","attribute_data:pa_ewd_uwcf_sizes","attribute_default:pa_ewd_uwcf_sizes","attribute:pa_semi-precious-stones","attribute_data:pa_semi-precious-stones","attribute_default:pa_semi-precious-stones"
"GLEE-205","glee-205","359","<ul>
 	<li><strong>Semi-precious Stones:</strong> Goldstone, Dalmatian Jasper, Hematite</li>
 	<li><strong>Other materials:</strong> Wood</li>
 	<li><strong>Hoops:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 4,5cm</li>
</ul>","","publish","0","2020-01-01 19:36:20","1","closed","","no","no","1","45","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GLEE-205a.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-205c.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-205b.jpg","","simple","","Collections > Glee|All Products|All Products > Earrings","","","Brown|Dalmatian|Dark Blue|Orange","","","","","","","Brown|Dalmatian|Dark Blue|Orange","2||","","","2||","","","",""
"BLISS-204","bliss-204","568","<ul>
 	<li><strong>Semi-precious Stones:</strong> Turquoise, Dalmatian Jasper</li>
 	<li><strong>Other materials:</strong> Wood</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 3cm</li>
</ul>","","publish","0","2020-01-05 21:26:51","1","closed","","no","no","1","40","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/BLISS-204b.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-204c.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-204a.jpg","","simple","","Collections > Bliss|All Products|All Products > Earrings","","","Black|Dalmatian|Turquoise","","","","","","","Black|Dalmatian|Turquoise","2||","","","2||","","","",""
"EUPHORIA-205","euphoria-205","572","<ul>
 	<li><strong>Semi-precious Stones:</strong> Zebra Jasper, Black Onyx</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 6,5cm</li>
</ul>","","publish","0","2020-01-05 21:47:37","1","closed","","no","no","1","40","","","","","","","","instock","notify","yes","none","568","568","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-205a.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-205c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-205b.jpg","","simple","","Collections > Euphoria|All Products|All Products > Earrings","","","Black|White","","","","","","","Black|White","1||","","","1||","","","",""
"GRACE-200","grace-200","595","<ul>
 	<li><strong>Semi-precious Stones:</strong> Mother of Pearl</li>
 	<li><strong>Other materials:</strong> Brass, Silk tassels, Diamond-cut black and gold Bronze chain</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 11cm</li>
</ul>","","publish","0","2020-01-05 21:53:33","1","closed","","no","no","1","85","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GRACE-200a.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-200c.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-200b.jpg","","simple","","Collections > Grace|All Products|All Products > Earrings","","","Pink|Ultramarine","","","","","","","Pink|Ultramarine","2||","","","2||","","Mother of pearl","1|0|0",""
"LAVISH-205","lavish-205","598","<ul>
 	<li><strong>Semi-precious Stones:</strong> Rose Quartz, Hematite</li>
 	<li><strong>Other materials:</strong> Bronze, Ostrich feathers</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 15cm</li>
</ul>","","publish","0","2020-01-05 21:54:29","1","closed","","no","no","1","100","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/LAVISH-205a.jpg | https://www.precious-joy.com/wp-content/uploads/LAVISH-205c.jpg | https://www.precious-joy.com/wp-content/uploads/LAVISH-205b.jpg","","simple","featured","Lavish by Precious Joy","","","Pink","","","","","","","Pink","1||","","","1||","","","",""
"DELIGHT-200","delight-200","600","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Howlite, Agate</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 8,5cm</li>
</ul>","","publish","0","2020-01-05 22:10:51","1","closed","","no","no","1","85","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/DELIGHT-200a.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-200c.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-200b.jpg","","simple","","Collections > Delight|All Products|All Products > Earrings","","","Black|Green","","","","","","","Black|Green","1||","","","1||","","","",""
"GRACE-201","grace-201","612","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jasper</li>
 	<li><strong>Other materials:</strong> Bronze, Brass, Silk tassels</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 12cm</li>
</ul>","","publish","0","2020-01-06 09:52:02","1","closed","","no","no","1","80","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GRACE-201a.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-201c.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-201b.jpg","","simple","","Collections > Grace|All Products|All Products > Earrings","","","Gray|Pink","","","","","","","Gray|Pink","2||","","","2||","","Jasper","0|0|0",""
"GRACE-207","grace-207","634","<ul>
 	<li><strong>Materials:</strong> Glass, Brass, Silk tassels</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 11cm</li>
</ul>","","publish","0","2020-01-06 11:24:22","1","closed","","no","no","1","35","","","","","","","","instock","notify","yes","none","612","612","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GRACE-207a.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-207c.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-207b.jpg","","simple","","Collections > Grace|All Products|All Products > Earrings","","","Pink|Ultramarine","","","","","","","Pink|Ultramarine","1||","","","1||","","","",""
"FELICITY-204","felicity-204","744","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jade, Hematite</li>
 	<li><strong>Hoops:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 4,5cm</li>
</ul>","","publish","0","2020-01-12 10:42:05","1","closed","","no","no","1","55","","","","","","","","instock","notify","yes","none","612","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/FELICITY-204a.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-204c.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-204b.jpg","","simple","","Collections > Felicity|All Products|All Products > Earrings","","","Olive","","","","","","","Olive","1||","","","1||","","","",""
"BLISS-201","bliss-201","750","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Howlite</li>
 	<li><strong>Hoops:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 4,5cm</li>
</ul>","","publish","0","2020-01-12 10:51:43","1","closed","","no","no","1","55","","","","","","","","instock","notify","yes","none","612","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/BLISS-201a.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-201c.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-201b.jpg","","simple","","Collections > Bliss|All Products|All Products > Earrings","","","Turquoise","","","","","","","Turquoise","2||","","","2||","","","",""
